date,category,tasks_created,tasks_completed,average_completion_hours,priority
2026-07-01,Work,6,4,5.2,High
2026-07-02,Personal,3,3,2.1,Low
2026-07-03,Study,5,2,7.4,Medium
2026-07-04,Work,8,6,4.8,High
2026-07-05,Health,2,1,3.5,Medium
2026-07-06,Personal,4,2,6.0,Low
2026-07-07,Study,7,5,5.7,High
2026-07-08,Work,9,7,4.1,High
2026-07-09,Health,3,3,2.8,Medium
2026-07-10,Personal,5,4,3.9,Low
2026-07-11,Study,6,4,6.3,Medium
2026-07-12,Work,10,8,4.5,High
2026-07-13,Health,4,2,5.9,Medium
2026-07-14,Personal,6,5,3.2,Low
2026-07-15,Study,8,6,5.1,High
2026-07-16,Work,7,6,4.4,High
2026-07-17,Health,5,3,6.2,Medium
2026-07-18,Personal,4,4,2.7,Low
2026-07-19,Study,9,7,5.5,High
2026-07-20,Work,11,9,4.0,High
2026-07-21,Health,3,2,4.6,Medium
2026-07-22,Personal,7,5,3.8,Low
2026-07-23,Study,6,5,4.9,Medium
2026-07-24,Work,12,10,3.7,High
2026-07-25,Health,4,4,2.9,Medium
2026-07-26,Personal,5,3,5.4,Low
2026-07-27,Study,10,8,4.6,High
2026-07-28,Work,9,8,3.5,High
2026-07-29,Health,6,4,5.1,Medium
2026-07-30,Personal,8,6,4.2,Low
2026-07-31,Study,7,5,5.8,Medium
2026-08-01,Work,10,7,4.7,High
2026-08-02,Personal,4,3,3.4,Low
2026-08-03,Study,8,6,5.6,Medium
2026-08-04,Work,13,11,3.9,High
2026-08-05,Health,5,3,4.8,Medium
2026-08-06,Personal,6,5,3.1,Low
2026-08-07,Study,9,6,6.0,High
2026-08-08,Work,14,12,3.6,High
2026-08-09,Health,4,3,4.3,Medium
2026-08-10,Personal,7,6,2.9,Low
2026-08-11,Study,11,8,5.2,High
2026-08-12,Work,15,13,3.3,High
2026-08-13,Health,6,5,3.7,Medium
2026-08-14,Personal,5,4,3.6,Low
2026-08-15,Study,10,7,5.9,Medium
2026-08-16,Work,12,10,4.1,High
2026-08-17,Health,7,5,4.5,Medium
2026-08-18,Personal,6,6,2.6,Low
2026-08-19,Study,12,9,5.0,High
2026-08-20,Work,16,14,3.2,High
2026-08-21,Health,5,4,3.9,Medium
2026-08-22,Personal,8,7,3.0,Low
2026-08-23,Study,9,8,4.7,Medium
2026-08-24,Work,17,15,3.1,High
2026-08-25,Health,6,4,4.9,Medium
2026-08-26,Personal,7,5,3.8,Low
2026-08-27,Study,13,10,4.6,High
2026-08-28,Work,15,13,3.4,High
2026-08-29,Health,8,6,4.2,Medium
2026-08-30,Personal,9,8,2.8,Low
2026-08-31,Study,11,9,4.9,Medium
